SIPARIS_ADEDI,GIYSI_GRUBU,GIYSI_CINSI,GIYSI_CINSI_DETAYI,UretimID,ModelAdi,PersonelNo,ModelTipAdi,OperAdi,MakinaTipi,Uretim,Etut,BirimUretimZamani
11635,BAYAN,Tulum,Kısa Kollu Tulum,123651,2223370 DILAMON ELBISE,317,ELBISE,FIRMA ETIKET TAKMA,DÜZ,809,20.0,24.25
24118,ÇOCUK,T-Shirt,Uzun Kol,162763,308634 TURTLE TSHIRRT,384,T-SHIRT,BEDEN ÜTÜ,ÜTÜ,165,30.0,24.24
27981,BAYAN,T-Shirt,Kısa Kol,116938,2222518 AMBER CEPLI T-SHIRT,458,T-SHIRT,KOL KISTIRMA,DÜZ,682,24.0,24.24
14170,ÇOCUK,Sweatshirt,Kapşonsuz,103636,CVKS24SSP22-BVE32 SWEATSHIRT,510,T-SHIRT,SON KALITE KONTROL,MANUEL,173,20.0,24.24
13564,BAYAN,T-Shirt,Kısa Kol,111583,2222514 GIZELLI TEK KOLLI TSHIRT,506,T-SHIRT,BEDEN ÜTÜ,ÜTÜ,238,18.0,24.24
46432,ÇOCUK,Elbise,Askılı elbise,127839,2218178 ASKILI BÜRÜMCÜK ELBISE,421,ELBISE,KOL EVI TULUM,OVERLOK,1040,26.0,24.23
8511,BAYAN,Elbise,Kolsuz elbise,139136,2228285 CARRIE ELBISE,508,ELBISE,BEDEN ÜTÜ,ÜTÜ,102,30.0,24.23
5194,ÇOCUK,Elbise,Kolsuz elbise,126562,2225757-2LI BÜRÜMCEK ELBISE,478,ELBISE,KOL KISTIRMA,DÜZ,344,30.0,24.23
27981,BAYAN,T-Shirt,Kısa Kol,114598,2222518 AMBER CEPLI T-SHIRT,273,T-SHIRT,ETEK REÇME,REÇME,1596,24.0,24.23
9158,BAYAN,T-Shirt,Uzun Kol,140598,CDKW24HBARG -CLP12,299,T-SHIRT,ÖN KOL TAKMA,OVERLOK,1049,27.0,24.23
