UretimID,ModelAdi,PersonelNo,ModelTipAdi,OperAdi,MakinaTipi,Uretim,Etut,BirimUretimZamani
193,TOLS24GDAME -CES90 T-SHIRT,193,T-SHIRT,KOL EVI BASMA,OVERLOK,3,40.0,243.33
448,2222582 COMPONI,448,ELBISE,YAN ALT PARÇA ÇATMA,OVERLOK,1,36.0,243.0
285,2222546 BEGOTANA ELBISE,285,ELBISE,KOL AGZI KIVIRMA,DÜZ,16,55.0,241.94
138,2222582 COMPONI,138,ELBISE,ALT ÜST BIRLESTIRME,OVERLOK,123,55.0,241.85
583,2225885 JISOONA ELBISE,583,ELBISE,YAN YIRTMAÇ GAZI,DÜZ,67,144.0,239.54
489,2219384 PALAZZO TSHIRT,489,T-SHIRT,SON KALITE KONTROL,MANUEL,100,12.0,236.77
395,2228071 MILKY WAY SIYAH ELBISE,395,ELBISE,FIRFIR BEDENE TAKMA,DÜZ,46,103.0,235.43
511,2219384 PALAZZO TSHIRT,511,T-SHIRT,ÖN KALITE KONTROL,MANUEL,141,36.0,234.64
323,2222582 COMPONI,323,ELBISE,ÖN KALITE KONTROL,MANUEL,18,70.0,234.11
413,2229267 SALOPET SET,413,ELBISE,ORTA PARÇA ÇATMA,OVERLOK,2,27.0,233.0
515,144430499 MIDI TUTU DRESS TÜL ELBISE,515,ELBISE,TÜL BIRLESTIRME,DÜZ,1,60.0,231.0
317,2222546 BEGOTANA ELBISE,317,ELBISE,KOL AGZI LASTIK TUTTURMA,DÜZ,7,55.0,230.0
537,2228071 MILKY WAY SIYAH ELBISE,537,ELBISE,ÖN PARÇA BIRLESTIRME,OVERLOK,7,40.0,228.71
495,144430499 MIDI TUTU DRESS TÜL ELBISE,495,ELBISE,TÜL ASTAR BIRLSTME,OVERLOK,18,120.0,228.17
21,2228071 MILKY WAY SIYAH ELBISE,21,ELBISE,ASKILIK ÇIMA,DÜZ,2,34.0,227.5
229,2228285 CARRIE ELBISE,229,ELBISE,FIRFIR DANTEL TAKMA,DÜZ,66,30.0,227.42
63,2222582 COMPONI,63,ELBISE,KOL TAKMA,OVERLOK,41,80.0,227.41
493,144492075 METALIC ATLET,493,T-SHIRT,KOL KISTIRMA,DÜZ,1,24.0,225.0
480,2222582 COMPONI,480,ELBISE,ÖN KALITE KONTROL,MANUEL,26,70.0,224.81
427,2222518 AMBER CEPLI T-SHIRT,427,T-SHIRT,KOL TAKMA,OVERLOK,2,40.0,224.0
130,2220847 BEGONIA BLUZ,130,T-SHIRT,ETEK UCU KIVIRMA,DÜZ,28,31.3,223.46
325,2222582 COMPONI,325,ELBISE,ÖN KALITE KONTROL,MANUEL,3,70.0,222.67
504,SBKS24DSPO2-BUB59 ELBISE,504,ELBISE,ÜRÜN KATLAMA,MANUEL,2,10.58,221.0
471,2219384 PALAZZO TSHIRT,471,T-SHIRT,BEDEN ÜTÜ,ÜTÜ,1,20.0,221.0
486,SBKS24DSPO2-BUB59 ELBISE,486,ELBISE,ÜRÜN KATLAMA,MANUEL,5,10.58,219.0
210,144430499 MIDI TUTU DRESS TÜL ELBISE,210,ELBISE,TÜL ASTAR BIRLSTME,OVERLOK,118,120.0,218.57
510,MSBS24HMACR-BXC21 BABY TSHIRT,510,T-SHIRT,SON KALITE KONTROL,MANUEL,8,20.0,218.25
19,CVKW24SGPAR-CPL95 BASKILI SWEAT,19,T-SHIRT,KOL MANSET TAKMA,OVERLOK,40,31.0,217.9
